year,season,day_of_the_week,Count
2019,Summer,Thursday,1674
2016,Winter,Sunday,1588
2016,Winter,Saturday,1708
2018,Summer,Thursday,1760
2017,Winter,Wednesday,1849
2019,Winter,Wednesday,1474
2017,Winter,Sunday,1641
2019,Winter,Tuesday,1612
2018,Winter,Sunday,1291
2019,Winter,Sunday,1366
2016,Summer,Saturday,1766
2016,Winter,Thursday,1945
2015,Winter,Monday,2299
2017,Summer,Sunday,1791
2016,Winter,Wednesday,2042
2016,Winter,Monday,2060
2017,Summer,Tuesday,2266
2016,Summer,Thursday,2118
2018,Summer,Saturday,1480
2019,Winter,Thursday,1447
2015,Winter,Wednesday,2164
2016,Summer,Friday,2094
2015,Summer,Friday,2189
2018,Winter,Saturday,1299
2016,Winter,Friday,1936
2019,Summer,Friday,1695
2017,Summer,Wednesday,2157
2017,Winter,Monday,1938
2019,Summer,Wednesday,1802
2018,Winter,Wednesday,1545
2018,Winter,Tuesday,1572
2016,Summer,Sunday,1982
2016,Summer,Monday,2468
2018,Summer,Monday,1957
2018,Winter,Monday,1844
2017,Winter,Thursday,1930
2017,Summer,Monday,2304
2017,Summer,Thursday,2050
2019,Summer,Saturday,1483
2018,Summer,Friday,1733
2015,Summer,Sunday,1849
2019,Summer,Monday,1945
2017,Winter,Saturday,1717
2018,Winter,Thursday,1759
2015,Summer,Wednesday,2269
2019,Winter,Friday,1588
2016,Summer,Tuesday,2177
2019,Summer,Sunday,1441
2015,Winter,Tuesday,2043
2016,Summer,Wednesday,2196
2019,Winter,Monday,1727
2017,Winter,Tuesday,1807
2015,Winter,Sunday,1719
2017,Winter,Friday,2024
2017,Summer,Saturday,1646
2015,Summer,Tuesday,2315
2019,Summer,Tuesday,1734
2018,Winter,Friday,1745
2017,Summer,Friday,1943
2019,Winter,Saturday,1350
2015,Summer,Saturday,1889
2015,Winter,Thursday,2159
2018,Summer,Tuesday,1869
2018,Summer,Wednesday,1950
2018,Summer,Sunday,1477
2015,Winter,Saturday,1776
2015,Summer,Thursday,2145
2016,Winter,Tuesday,1915
2015,Summer,Monday,2368
2015,Winter,Friday,1966
